zip_code,state_x,county_x,combine,income
15059,pa,beaver,beaverpa,69655.0
15060,pa,washington,washingtonpa,78066.0
15061,pa,beaver,beaverpa,69655.0
15062,pa,westmoreland,westmorelandpa,72166.0
15063,pa,washington,washingtonpa,78066.0
15064,pa,allegheny,alleghenypa,78027.0
15065,pa,allegheny,alleghenypa,78027.0
15066,pa,beaver,beaverpa,69655.0
15067,pa,washington,washingtonpa,78066.0
15068,pa,westmoreland,westmorelandpa,72166.0
15069,pa,westmoreland,westmorelandpa,72166.0
15071,pa,allegheny,alleghenypa,78027.0
15072,pa,westmoreland,westmorelandpa,72166.0
15074,pa,beaver,beaverpa,69655.0
15075,pa,allegheny,alleghenypa,78027.0
15076,pa,allegheny,alleghenypa,78027.0
15077,pa,beaver,beaverpa,69655.0
15078,pa,washington,washingtonpa,78066.0
15081,pa,beaver,beaverpa,69655.0
15082,pa,allegheny,alleghenypa,78027.0
15083,pa,westmoreland,westmorelandpa,72166.0
15084,pa,allegheny,alleghenypa,78027.0
15085,pa,westmoreland,westmorelandpa,72166.0
15086,pa,allegheny,alleghenypa,78027.0
15087,pa,westmoreland,westmorelandpa,72166.0
15088,pa,allegheny,alleghenypa,78027.0
15089,pa,westmoreland,westmorelandpa,72166.0
15090,pa,allegheny,alleghenypa,78027.0
15091,pa,allegheny,alleghenypa,78027.0
15095,pa,allegheny,alleghenypa,78027.0
15096,pa,allegheny,alleghenypa,78027.0
15101,pa,allegheny,alleghenypa,78027.0
15102,pa,allegheny,alleghenypa,78027.0
15104,pa,allegheny,alleghenypa,78027.0
15106,pa,allegheny,alleghenypa,78027.0
15108,pa,allegheny,alleghenypa,78027.0
15110,pa,allegheny,alleghenypa,78027.0
15112,pa,allegheny,alleghenypa,78027.0
15116,pa,allegheny,alleghenypa,78027.0
15120,pa,allegheny,alleghenypa,78027.0
15122,pa,allegheny,alleghenypa,78027.0
15123,pa,allegheny,alleghenypa,78027.0
15126,pa,allegheny,alleghenypa,78027.0
15127,pa,allegheny,alleghenypa,78027.0
15129,pa,allegheny,alleghenypa,78027.0
15130,pa,allegheny,alleghenypa,78027.0
15131,pa,allegheny,alleghenypa,78027.0
15132,pa,allegheny,alleghenypa,78027.0
15133,pa,allegheny,alleghenypa,78027.0
15134,pa,allegheny,alleghenypa,78027.0
15135,pa,allegheny,alleghenypa,78027.0
15136,pa,allegheny,alleghenypa,78027.0
15137,pa,allegheny,alleghenypa,78027.0
15139,pa,allegheny,alleghenypa,78027.0
15140,pa,allegheny,alleghenypa,78027.0
15142,pa,allegheny,alleghenypa,78027.0
15143,pa,allegheny,alleghenypa,78027.0
15144,pa,allegheny,alleghenypa,78027.0
15145,pa,allegheny,alleghenypa,78027.0
15146,pa,allegheny,alleghenypa,78027.0
15147,pa,allegheny,alleghenypa,78027.0
15148,pa,allegheny,alleghenypa,78027.0
15189,pa,allegheny,alleghenypa,78027.0
15201,pa,allegheny,alleghenypa,78027.0
15202,pa,allegheny,alleghenypa,78027.0
15203,pa,allegheny,alleghenypa,78027.0
15204,pa,allegheny,alleghenypa,78027.0
15205,pa,allegheny,alleghenypa,78027.0
15206,pa,allegheny,alleghenypa,78027.0
15207,pa,allegheny,alleghenypa,78027.0
15208,pa,allegheny,alleghenypa,78027.0
15209,pa,allegheny,alleghenypa,78027.0
15210,pa,allegheny,alleghenypa,78027.0
15211,pa,allegheny,alleghenypa,78027.0
15212,pa,allegheny,alleghenypa,78027.0
